message,amount,sender_type,label
UPI reward pending. Click to receive,2279,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,11863,unknown,scam
KYC expired. Update details to avoid UPI suspension,48579,unknown,scam
₹102 received via UPI,102,merchant,safe
UPI reward pending. Click to receive,36249,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,31188,unknown,scam
UPI reward pending. Click to receive,26405,unknown,scam
Money received from Rohit,3160,merchant,safe
Money received from Rahul,658,bank,safe
Unauthorized transaction detected. Confirm now,15316,unknown,scam
₹4298 received via UPI,4298,bank,safe
Unauthorized transaction detected. Confirm now,24187,unknown,scam
UPI reward pending. Click to receive,19863,unknown,scam
₹754 received via UPI,754,merchant,safe
You have received cashback. Claim now,22593,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,48577,unknown,scam
Unauthorized transaction detected. Confirm now,31767,unknown,scam
₹2607 received via UPI,2607,bank,safe
Your UPI account is temporarily blocked. Verify immediately,4769,unknown,scam
You have received cashback. Claim now,6181,unknown,scam
Payment reversal failed. Act immediately,32800,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,11446,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,16637,unknown,scam
Unauthorized transaction detected. Confirm now,39988,unknown,scam
UPI payment of ₹3166 completed,3166,bank,safe
Payment of ₹2462 debited from account,2462,bank,safe
₹2625 received via UPI,2625,bank,safe
Money received from Priya,2660,bank,safe
UPI payment of ₹123 completed,123,bank,safe
KYC expired. Update details to avoid UPI suspension,49979,unknown,scam
Payment of ₹1890 debited from account,1890,bank,safe
Unauthorized transaction detected. Confirm now,25669,unknown,scam
Money received from Ankit,468,merchant,safe
Paid ₹1144 to merchant successfully,1144,merchant,safe
₹4111 received via UPI,4111,bank,safe
Refund failed. Click the link to re-initiate UPI payment,31370,unknown,scam
Unauthorized transaction detected. Confirm now,46539,unknown,scam
Unauthorized transaction detected. Confirm now,29236,unknown,scam
UPI payment of ₹3880 completed,3880,bank,safe
Transaction successful. Ref ID generated,2428,merchant,safe
₹3329 received via UPI,3329,bank,safe
Unauthorized transaction detected. Confirm now,48307,unknown,scam
Payment of ₹4666 debited from account,4666,bank,safe
Your UPI account is temporarily blocked. Verify immediately,12572,unknown,scam
Money received from Amit,1887,bank,safe
Transaction successful. Ref ID generated,4713,merchant,safe
UPI reward pending. Click to receive,34373,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,26174,unknown,scam
UPI payment of ₹3330 completed,3330,merchant,safe
Unauthorized transaction detected. Confirm now,43834,unknown,scam
Unauthorized transaction detected. Confirm now,39928,unknown,scam
Transaction successful. Ref ID generated,1173,bank,safe
Money received from Rohit,1447,merchant,safe
Money received from Ankit,4695,bank,safe
Transaction successful. Ref ID generated,4150,bank,safe
Transaction successful. Ref ID generated,4920,bank,safe
KYC expired. Update details to avoid UPI suspension,38473,unknown,scam
Unauthorized transaction detected. Confirm now,10973,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,37429,unknown,scam
KYC expired. Update details to avoid UPI suspension,27579,unknown,scam
Money received from Sneha,3442,bank,safe
Paid ₹1328 to merchant successfully,1328,bank,safe
UPI payment of ₹2361 completed,2361,bank,safe
Your UPI account is temporarily blocked. Verify immediately,3517,unknown,scam
Money received from Priya,2055,merchant,safe
Transaction successful. Ref ID generated,3651,merchant,safe
You have received cashback. Claim now,4411,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,31066,unknown,scam
UPI reward pending. Click to receive,6022,unknown,scam
UPI reward pending. Click to receive,31685,unknown,scam
Transaction successful. Ref ID generated,3352,bank,safe
KYC expired. Update details to avoid UPI suspension,49081,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,24371,unknown,scam
Transaction successful. Ref ID generated,1667,bank,safe
₹1160 received via UPI,1160,bank,safe
Payment of ₹1310 debited from account,1310,bank,safe
Payment of ₹3559 debited from account,3559,bank,safe
UPI reward pending. Click to receive,7555,unknown,scam
Transaction successful. Ref ID generated,3516,merchant,safe
Transaction successful. Ref ID generated,2440,merchant,safe
KYC expired. Update details to avoid UPI suspension,44869,unknown,scam
KYC expired. Update details to avoid UPI suspension,36996,unknown,scam
Transaction successful. Ref ID generated,1307,bank,safe
Transaction successful. Ref ID generated,4789,merchant,safe
Paid ₹65 to merchant successfully,65,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,47122,unknown,scam
₹3197 received via UPI,3197,merchant,safe
UPI reward pending. Click to receive,4154,unknown,scam
₹4373 received via UPI,4373,merchant,safe
₹3846 received via UPI,3846,merchant,safe
Payment reversal failed. Act immediately,7566,unknown,scam
Payment of ₹3193 debited from account,3193,merchant,safe
UPI payment of ₹2785 completed,2785,merchant,safe
₹3040 received via UPI,3040,bank,safe
You have received cashback. Claim now,27992,unknown,scam
You have received cashback. Claim now,37183,unknown,scam
Payment of ₹668 debited from account,668,bank,safe
₹3160 received via UPI,3160,merchant,safe
Payment reversal failed. Act immediately,48643,unknown,scam
₹1769 received via UPI,1769,bank,safe
UPI reward pending. Click to receive,16575,unknown,scam
KYC expired. Update details to avoid UPI suspension,26671,unknown,scam
Paid ₹2207 to merchant successfully,2207,bank,safe
Refund failed. Click the link to re-initiate UPI payment,44508,unknown,scam
Money received from Sneha,4154,bank,safe
Payment reversal failed. Act immediately,23536,unknown,scam
You have received cashback. Claim now,34567,unknown,scam
Payment of ₹1452 debited from account,1452,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,39861,unknown,scam
Payment reversal failed. Act immediately,8081,unknown,scam
Transaction successful. Ref ID generated,2292,merchant,safe
Money received from Amit,3476,bank,safe
₹3353 received via UPI,3353,merchant,safe
Paid ₹520 to merchant successfully,520,merchant,safe
Money received from Rohit,2706,merchant,safe
Payment of ₹3318 debited from account,3318,bank,safe
KYC expired. Update details to avoid UPI suspension,28025,unknown,scam
Paid ₹3449 to merchant successfully,3449,merchant,safe
Paid ₹4503 to merchant successfully,4503,merchant,safe
₹3203 received via UPI,3203,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,49451,unknown,scam
Payment reversal failed. Act immediately,40514,unknown,scam
Unauthorized transaction detected. Confirm now,34776,unknown,scam
Payment reversal failed. Act immediately,8772,unknown,scam
Payment reversal failed. Act immediately,5293,unknown,scam
UPI reward pending. Click to receive,40208,unknown,scam
₹2043 received via UPI,2043,bank,safe
₹222 received via UPI,222,bank,safe
Payment reversal failed. Act immediately,28508,unknown,scam
Transaction successful. Ref ID generated,1706,merchant,safe
Payment reversal failed. Act immediately,31438,unknown,scam
Payment reversal failed. Act immediately,18038,unknown,scam
Payment of ₹4458 debited from account,4458,merchant,safe
You have received cashback. Claim now,49490,unknown,scam
Paid ₹1927 to merchant successfully,1927,bank,safe
Refund failed. Click the link to re-initiate UPI payment,35192,unknown,scam
Payment of ₹3557 debited from account,3557,merchant,safe
KYC expired. Update details to avoid UPI suspension,11748,unknown,scam
UPI reward pending. Click to receive,15051,unknown,scam
UPI reward pending. Click to receive,26105,unknown,scam
Transaction successful. Ref ID generated,3740,bank,safe
Paid ₹3955 to merchant successfully,3955,bank,safe
Unauthorized transaction detected. Confirm now,10307,unknown,scam
Money received from Rohit,1378,merchant,safe
You have received cashback. Claim now,29057,unknown,scam
Unauthorized transaction detected. Confirm now,43876,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,49506,unknown,scam
₹2465 received via UPI,2465,bank,safe
KYC expired. Update details to avoid UPI suspension,15865,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,12131,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,38544,unknown,scam
₹3999 received via UPI,3999,bank,safe
Money received from Rahul,2056,bank,safe
Payment reversal failed. Act immediately,45320,unknown,scam
UPI reward pending. Click to receive,34375,unknown,scam
Payment reversal failed. Act immediately,3298,unknown,scam
UPI payment of ₹4403 completed,4403,merchant,safe
UPI payment of ₹226 completed,226,bank,safe
UPI reward pending. Click to receive,15181,unknown,scam
Paid ₹4625 to merchant successfully,4625,bank,safe
Payment of ₹993 debited from account,993,merchant,safe
Payment of ₹3455 debited from account,3455,bank,safe
UPI payment of ₹4162 completed,4162,merchant,safe
₹3050 received via UPI,3050,merchant,safe
KYC expired. Update details to avoid UPI suspension,39199,unknown,scam
Unauthorized transaction detected. Confirm now,8259,unknown,scam
You have received cashback. Claim now,35377,unknown,scam
Transaction successful. Ref ID generated,4457,merchant,safe
UPI reward pending. Click to receive,43715,unknown,scam
Paid ₹4196 to merchant successfully,4196,bank,safe
Money received from Ankit,1785,bank,safe
Unauthorized transaction detected. Confirm now,44926,unknown,scam
Paid ₹857 to merchant successfully,857,bank,safe
Money received from Rahul,990,merchant,safe
Unauthorized transaction detected. Confirm now,22076,unknown,scam
₹850 received via UPI,850,merchant,safe
Payment of ₹4580 debited from account,4580,bank,safe
Transaction successful. Ref ID generated,3142,bank,safe
You have received cashback. Claim now,26722,unknown,scam
Payment of ₹3196 debited from account,3196,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,39125,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,19198,unknown,scam
Paid ₹2199 to merchant successfully,2199,merchant,safe
Paid ₹3862 to merchant successfully,3862,merchant,safe
Unauthorized transaction detected. Confirm now,15224,unknown,scam
Payment reversal failed. Act immediately,14727,unknown,scam
You have received cashback. Claim now,2205,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,27147,unknown,scam
Transaction successful. Ref ID generated,4054,bank,safe
Money received from Rohit,4172,bank,safe
Paid ₹3232 to merchant successfully,3232,merchant,safe
₹4671 received via UPI,4671,bank,safe
UPI reward pending. Click to receive,4866,unknown,scam
Payment of ₹2758 debited from account,2758,bank,safe
Paid ₹3509 to merchant successfully,3509,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,19294,unknown,scam
₹4153 received via UPI,4153,bank,safe
UPI payment of ₹4052 completed,4052,merchant,safe
Paid ₹844 to merchant successfully,844,bank,safe
Paid ₹4089 to merchant successfully,4089,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,7813,unknown,scam
Payment of ₹4798 debited from account,4798,bank,safe
KYC expired. Update details to avoid UPI suspension,26551,unknown,scam
UPI reward pending. Click to receive,8119,unknown,scam
UPI reward pending. Click to receive,5358,unknown,scam
₹2560 received via UPI,2560,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,45970,unknown,scam
UPI payment of ₹4551 completed,4551,merchant,safe
KYC expired. Update details to avoid UPI suspension,4478,unknown,scam
Payment reversal failed. Act immediately,35073,unknown,scam
UPI payment of ₹1363 completed,1363,merchant,safe
Transaction successful. Ref ID generated,4299,bank,safe
Your UPI account is temporarily blocked. Verify immediately,27509,unknown,scam
KYC expired. Update details to avoid UPI suspension,48176,unknown,scam
Transaction successful. Ref ID generated,1048,bank,safe
You have received cashback. Claim now,10872,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,9481,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,48741,unknown,scam
Payment of ₹243 debited from account,243,bank,safe
You have received cashback. Claim now,27828,unknown,scam
KYC expired. Update details to avoid UPI suspension,48346,unknown,scam
KYC expired. Update details to avoid UPI suspension,16115,unknown,scam
You have received cashback. Claim now,25339,unknown,scam
₹239 received via UPI,239,bank,safe
UPI payment of ₹4871 completed,4871,bank,safe
You have received cashback. Claim now,35119,unknown,scam
Paid ₹592 to merchant successfully,592,bank,safe
Payment of ₹2054 debited from account,2054,bank,safe
Paid ₹1674 to merchant successfully,1674,bank,safe
Transaction successful. Ref ID generated,3721,merchant,safe
Money received from Rahul,3516,merchant,safe
You have received cashback. Claim now,48279,unknown,scam
UPI payment of ₹3304 completed,3304,bank,safe
Refund failed. Click the link to re-initiate UPI payment,43473,unknown,scam
₹1334 received via UPI,1334,merchant,safe
Payment reversal failed. Act immediately,45134,unknown,scam
UPI payment of ₹4565 completed,4565,bank,safe
UPI reward pending. Click to receive,48594,unknown,scam
Paid ₹2860 to merchant successfully,2860,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,4677,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,10306,unknown,scam
₹1043 received via UPI,1043,bank,safe
KYC expired. Update details to avoid UPI suspension,45223,unknown,scam
Money received from Ankit,2795,merchant,safe
KYC expired. Update details to avoid UPI suspension,18922,unknown,scam
₹55 received via UPI,55,merchant,safe
Transaction successful. Ref ID generated,843,bank,safe
Transaction successful. Ref ID generated,4942,bank,safe
Money received from Ankit,4619,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,8413,unknown,scam
Unauthorized transaction detected. Confirm now,38081,unknown,scam
Transaction successful. Ref ID generated,1990,merchant,safe
Payment of ₹4409 debited from account,4409,bank,safe
Unauthorized transaction detected. Confirm now,4798,unknown,scam
Unauthorized transaction detected. Confirm now,8158,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,19219,unknown,scam
Payment of ₹4796 debited from account,4796,bank,safe
You have received cashback. Claim now,17410,unknown,scam
UPI payment of ₹50 completed,50,bank,safe
Transaction successful. Ref ID generated,2326,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,40073,unknown,scam
Payment of ₹4940 debited from account,4940,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,28067,unknown,scam
UPI payment of ₹2941 completed,2941,merchant,safe
Transaction successful. Ref ID generated,2318,bank,safe
Money received from Sneha,1217,bank,safe
Paid ₹227 to merchant successfully,227,merchant,safe
Payment reversal failed. Act immediately,25797,unknown,scam
You have received cashback. Claim now,46678,unknown,scam
You have received cashback. Claim now,28482,unknown,scam
KYC expired. Update details to avoid UPI suspension,27605,unknown,scam
You have received cashback. Claim now,3063,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,29681,unknown,scam
Payment of ₹3179 debited from account,3179,merchant,safe
₹3362 received via UPI,3362,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,7430,unknown,scam
You have received cashback. Claim now,31468,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,43229,unknown,scam
You have received cashback. Claim now,25505,unknown,scam
You have received cashback. Claim now,38428,unknown,scam
KYC expired. Update details to avoid UPI suspension,22645,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,49141,unknown,scam
Transaction successful. Ref ID generated,1077,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,39369,unknown,scam
Transaction successful. Ref ID generated,1391,merchant,safe
Money received from Priya,3105,merchant,safe
UPI payment of ₹447 completed,447,merchant,safe
KYC expired. Update details to avoid UPI suspension,6951,unknown,scam
Paid ₹2066 to merchant successfully,2066,bank,safe
You have received cashback. Claim now,9837,unknown,scam
You have received cashback. Claim now,18098,unknown,scam
UPI payment of ₹1018 completed,1018,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,27856,unknown,scam
KYC expired. Update details to avoid UPI suspension,22926,unknown,scam
KYC expired. Update details to avoid UPI suspension,47680,unknown,scam
KYC expired. Update details to avoid UPI suspension,37791,unknown,scam
Unauthorized transaction detected. Confirm now,17310,unknown,scam
You have received cashback. Claim now,27906,unknown,scam
Payment of ₹3115 debited from account,3115,bank,safe
KYC expired. Update details to avoid UPI suspension,35488,unknown,scam
Money received from Rahul,2295,merchant,safe
You have received cashback. Claim now,44856,unknown,scam
Transaction successful. Ref ID generated,712,merchant,safe
Payment of ₹339 debited from account,339,merchant,safe
Unauthorized transaction detected. Confirm now,43469,unknown,scam
UPI reward pending. Click to receive,40527,unknown,scam
UPI reward pending. Click to receive,47301,unknown,scam
You have received cashback. Claim now,17330,unknown,scam
Transaction successful. Ref ID generated,2305,bank,safe
UPI payment of ₹2037 completed,2037,merchant,safe
Money received from Priya,2111,bank,safe
Transaction successful. Ref ID generated,428,bank,safe
Payment of ₹181 debited from account,181,bank,safe
Payment of ₹445 debited from account,445,merchant,safe
KYC expired. Update details to avoid UPI suspension,49020,unknown,scam
UPI reward pending. Click to receive,43337,unknown,scam
Payment reversal failed. Act immediately,2021,unknown,scam
Unauthorized transaction detected. Confirm now,32111,unknown,scam
Unauthorized transaction detected. Confirm now,10147,unknown,scam
₹3396 received via UPI,3396,merchant,safe
Transaction successful. Ref ID generated,1346,bank,safe
UPI reward pending. Click to receive,10532,unknown,scam
UPI payment of ₹2194 completed,2194,merchant,safe
Paid ₹1237 to merchant successfully,1237,bank,safe
Money received from Priya,3227,bank,safe
₹3624 received via UPI,3624,merchant,safe
Paid ₹791 to merchant successfully,791,merchant,safe
Unauthorized transaction detected. Confirm now,43932,unknown,scam
₹3052 received via UPI,3052,bank,safe
UPI reward pending. Click to receive,27494,unknown,scam
You have received cashback. Claim now,33368,unknown,scam
Payment of ₹3819 debited from account,3819,merchant,safe
UPI payment of ₹4207 completed,4207,bank,safe
₹3124 received via UPI,3124,bank,safe
You have received cashback. Claim now,49996,unknown,scam
Money received from Sneha,4916,bank,safe
Refund failed. Click the link to re-initiate UPI payment,25530,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,10331,unknown,scam
You have received cashback. Claim now,43194,unknown,scam
You have received cashback. Claim now,34692,unknown,scam
Payment of ₹1115 debited from account,1115,bank,safe
Payment reversal failed. Act immediately,35966,unknown,scam
You have received cashback. Claim now,34137,unknown,scam
Transaction successful. Ref ID generated,3294,merchant,safe
UPI payment of ₹4946 completed,4946,bank,safe
Paid ₹3056 to merchant successfully,3056,merchant,safe
₹2134 received via UPI,2134,bank,safe
Unauthorized transaction detected. Confirm now,29290,unknown,scam
UPI payment of ₹1038 completed,1038,bank,safe
UPI payment of ₹266 completed,266,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,30419,unknown,scam
Payment of ₹194 debited from account,194,merchant,safe
Transaction successful. Ref ID generated,1342,bank,safe
Payment reversal failed. Act immediately,38611,unknown,scam
₹4264 received via UPI,4264,merchant,safe
Payment of ₹2414 debited from account,2414,bank,safe
Paid ₹3833 to merchant successfully,3833,bank,safe
Unauthorized transaction detected. Confirm now,42338,unknown,scam
Money received from Amit,2328,merchant,safe
₹788 received via UPI,788,merchant,safe
UPI payment of ₹665 completed,665,merchant,safe
Payment of ₹2582 debited from account,2582,merchant,safe
Money received from Sneha,3589,bank,safe
Your UPI account is temporarily blocked. Verify immediately,6682,unknown,scam
UPI payment of ₹1639 completed,1639,merchant,safe
Unauthorized transaction detected. Confirm now,21914,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,33497,unknown,scam
UPI payment of ₹2905 completed,2905,bank,safe
KYC expired. Update details to avoid UPI suspension,46414,unknown,scam
Payment of ₹863 debited from account,863,bank,safe
Payment reversal failed. Act immediately,28585,unknown,scam
Paid ₹2672 to merchant successfully,2672,merchant,safe
Transaction successful. Ref ID generated,1808,merchant,safe
Transaction successful. Ref ID generated,4280,bank,safe
Payment reversal failed. Act immediately,3355,unknown,scam
Paid ₹788 to merchant successfully,788,bank,safe
Unauthorized transaction detected. Confirm now,32841,unknown,scam
Payment of ₹314 debited from account,314,merchant,safe
Unauthorized transaction detected. Confirm now,45704,unknown,scam
Paid ₹1640 to merchant successfully,1640,bank,safe
Your UPI account is temporarily blocked. Verify immediately,46022,unknown,scam
Unauthorized transaction detected. Confirm now,14229,unknown,scam
Payment of ₹4235 debited from account,4235,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,41961,unknown,scam
